iter	Logloss
0	0.275518898
1	0.1341173744
2	0.1115374794
3	0.08593120384
4	0.0714186554
5	0.05495515919
6	0.04828585243
7	0.04444917393
8	0.04077760887
9	0.03375220203
10	0.03251843882
11	0.03052717018
12	0.02818655682
13	0.02447934341
14	0.02273355103
15	0.02115024996
16	0.02077607536
17	0.0194969883
18	0.01906248999
19	0.01857291603
20	0.01719827986
21	0.01659418416
22	0.01610562754
23	0.01526303291
24	0.01517735839
25	0.01511407995
26	0.01448097563
27	0.01402670169
28	0.01379344392
29	0.01326787043
30	0.01279525495
31	0.01261061049
32	0.01245804477
33	0.01223406982
34	0.01180823803
35	0.01149090385
36	0.01138118887
37	0.01100982189
38	0.01060925674
39	0.01040953064
40	0.01035038805
41	0.010027421
42	0.009512559891
43	0.009041829586
44	0.008837260127
45	0.008645351887
46	0.008349789858
47	0.008349566698
48	0.008349362493
49	0.008309987187
50	0.008014320493
51	0.00791423285
52	0.007731661558
53	0.007612411022
54	0.007612443328
55	0.007612426281
56	0.007612369418
57	0.007612320662
58	0.007612268329
59	0.00761213851
60	0.007612043619
61	0.007557743192
62	0.007367239356
63	0.007206911683
64	0.00716002357
65	0.007029453635
66	0.006940011024
67	0.006854353189
68	0.006853932977
69	0.006853742719
70	0.006853742719
71	0.006853742719
72	0.006853742719
73	0.006853742719
74	0.006853742719
75	0.006853742719
76	0.006853742719
77	0.006853742719
78	0.006853742719
79	0.006853742719
80	0.006853742719
81	0.006853742719
82	0.006853742719
83	0.006853742719
84	0.006853742719
85	0.006853742719
86	0.006853742719
87	0.006853742719
88	0.006853742719
89	0.006853742719
90	0.006853742719
91	0.006853742719
92	0.006853742719
93	0.006853742719
94	0.006853742719
95	0.006853637576
96	0.006853637576
97	0.006853637576
98	0.006853637576
99	0.006853637576
